,bike_name,price,kms_driven,owner,age,power,brand
2590,Hero Glamour 125cc,18000,79000,First,11,125,Hero
2591,Bajaj Pulsar NS200,35000,34000,First,9,200,Bajaj
2592,TVS Apache RTR,82000,52198,First,2,160,TVS
2593,KTM RC 390cc,170000,14500,First,4,390,KTM
2594,Honda CB Unicorn,55000,27200,First,11,150,Honda
2595,Bajaj CT 100,19400,50000,First,5,100,Bajaj
2596,Royal Enfield Bullet,82000,11766,First,8,350,Royal Enfield
2597,Bajaj Pulsar 220cc,50000,9500,First,7,220,Bajaj
2598,Honda CB Unicorn,57000,18374,Second,5,160,Honda
2599,Hero Passion Pro,34000,19000,First,7,100,Hero
2600,Yamaha YZF-R15 150cc,100000,10784,Second,5,150,Yamaha
2601,Bajaj Discover 125ST,23000,51000,First,8,125,Bajaj
2602,Honda CB Shine,23000,22310,First,11,125,Honda
2603,Royal Enfield Classic,130000,16000,First,6,500,Royal Enfield
2604,Royal Enfield Classic,200000,10000,First,4,500,Royal Enfield
2605,Ducati Monster 797,750000,1550,First,2,797,Ducati
2606,Bajaj Pulsar 180cc,15000,52000,First,15,180,Bajaj
2607,Bajaj Pulsar 180cc,18000,27391,First,9,180,Bajaj
2608,Bajaj Pulsar 150cc,16000,18002,First,15,150,Bajaj
2609,Bajaj Pulsar 180cc,28000,22047,First,7,180,Bajaj
2610,Royal Enfield Classic,90000,6465,First,9,350,Royal Enfield
2611,KTM Duke 390cc,115100,15184,First,5,390,KTM
2612,KTM Duke 390cc,110147,13193,First,5,390,KTM
2613,KTM Duke 390cc,130000,27000,First,6,390,KTM
2614,Bajaj Pulsar RS200,95000,3500,First,6,200,Bajaj
2615,Hero Splendor 100cc,23300,52000,First,15,100,Hero
2616,Honda CB Unicorn,19000,2872,First,9,150,Honda
2617,Hero Splendor iSmart,35100,15000,First,5,110,Hero
2618,Honda CBR 250R,150000,10956,First,3,250,Honda
2619,Hero Glamour 125cc,24500,17874,First,6,125,Hero
2620,Bajaj Discover 150F,28000,31634,First,6,150,Bajaj
2621,Bajaj Discover 150F,30000,22000,First,6,150,Bajaj
2622,Bajaj Discover 150F,27000,6042,First,5,150,Bajaj
